Anio,Pais,Promedio_temperatura_c,Emisiones_CO2_TonXHab,Energia_renovable_Pct,Eventos_Extremos,Precipitaciones_mm,Area_Forestal_Pct,Aumento_Nivel_Mar_mm,Poblacion
2000,Argentina,16.9,3.9,15.5,11,2047.0,18.4,4.0,564877556
2001,Argentina,33.2,18.2,15.7,1,2372.0,39.7,2.9,1078565697
2001,Argentina,24.8,14.3,33.8,12,2813.0,15.6,2.8,332640493
2001,Argentina,21.5,1.1,31.6,2,2005.0,17.7,4.7,597841637
2001,Argentina,8.4,16.8,12.7,3,2035.0,19.8,2.3,1334032802
2002,Argentina,14.3,16.6,26.7,7,1325.0,58.2,2.6,845772793
2002,Argentina,27.6,13.6,11.1,10,1056.0,23.8,1.6,711474124
2003,Argentina,10.0,16.5,21.9,13,626.0,17.2,1.3,1211429158
2004,Argentina,9.8,2.1,15.6,1,1290.0,40.1,1.5,742981303
2004,Argentina,15.4,8.5,31.8,0,1416.0,46.9,2.0,1114422920
2005,Argentina,9.0,1.1,9.5,3,1516.0,44.4,3.3,1253813851
2005,Argentina,9.7,5.3,33.0,8,2660.0,30.5,2.9,704269727
2005,Argentina,27.0,14.3,29.3,2,1955.0,20.2,2.5,898654624
2005,Argentina,24.3,14.8,26.4,12,1035.0,58.7,2.3,417690049
2005,Argentina,5.7,10.6,8.0,10,1730.0,61.6,4.1,1356785799
2005,Argentina,10.0,11.2,21.5,6,1533.0,23.8,2.5,567420977
2006,Argentina,30.7,11.6,41.9,10,1755.0,50.5,3.9,586706107
2006,Argentina,22.9,16.6,18.4,8,2272.0,16.6,2.1,1069151826
2006,Argentina,25.1,14.4,36.1,6,990.0,58.4,4.6,417520615
2006,Argentina,12.3,5.7,40.1,13,690.0,62.0,4.1,964717552
2007,Argentina,7.7,19.9,16.9,10,918.0,58.7,1.6,203114192
2008,Argentina,18.0,7.1,27.8,4,1037.0,47.1,4.8,1209391736
2008,Argentina,25.1,15.4,48.2,12,2386.0,54.9,2.7,803864353
2008,Argentina,21.7,2.6,39.4,2,1853.0,18.9,2.2,1025547493
2008,Argentina,28.6,16.0,25.9,14,1640.0,34.0,3.5,398067665
2008,Argentina,10.4,2.9,40.2,9,958.0,26.3,2.8,1339539083
2009,Argentina,11.0,12.0,14.2,2,2510.0,61.8,1.7,504454279
2009,Argentina,15.7,2.5,29.4,14,1453.0,26.4,4.7,548470440
2009,Argentina,16.4,17.2,9.3,8,1122.0,47.8,3.7,306798170
2009,Argentina,8.8,1.4,28.3,5,963.0,33.0,3.7,1344612647
2009,Argentina,20.1,1.5,40.1,11,1934.0,61.1,4.3,380527763
2009,Argentina,34.6,7.0,15.1,0,2634.0,46.3,2.8,1283287571
2010,Argentina,5.9,1.8,23.7,7,1892.0,17.7,3.2,1069669579
2010,Argentina,24.5,13.6,14.9,7,1007.0,67.3,1.2,200316893
2012,Argentina,21.3,1.0,37.5,12,656.0,11.1,3.8,449021301
2012,Argentina,20.6,15.7,5.4,3,678.0,22.6,1.2,927578734
2013,Argentina,25.4,9.2,43.9,14,2881.0,30.9,3.7,1075399963
2013,Argentina,29.6,17.2,21.1,9,1172.0,21.6,4.4,994673524
2013,Argentina,23.0,0.9,40.7,7,897.0,48.6,3.0,1152666411
2013,Argentina,23.9,10.9,8.5,10,1567.0,21.8,1.4,537312924
2013,Argentina,34.7,7.4,9.4,0,698.0,31.6,5.0,785566655
2014,Argentina,33.4,16.4,13.7,0,2618.0,63.3,3.9,796318481
2014,Argentina,25.9,7.6,21.4,0,2005.0,66.3,4.2,441359567
2014,Argentina,19.8,19.6,9.6,6,2244.0,24.5,1.2,1209870465
2015,Argentina,20.7,12.8,50.0,3,2761.0,19.4,4.3,455823356
2016,Argentina,7.2,16.7,28.7,3,1796.0,50.8,5.0,1353028485
2016,Argentina,21.2,8.1,22.3,2,1819.0,45.3,1.9,395181795
2018,Argentina,34.6,10.7,45.0,3,1547.0,46.5,4.6,298632383
2018,Argentina,27.6,14.5,49.9,5,2672.0,60.3,4.8,555420966
2018,Argentina,24.7,17.8,24.7,8,2037.0,22.3,4.0,740582553
2019,Argentina,21.5,6.5,19.8,7,1779.0,68.6,1.1,781668712
2019,Argentina,11.8,3.4,49.1,8,2949.0,49.1,1.8,697781804
