Anio,Decada,Pais,Continente,Promedio_temperatura_c,Categoria_temperatura,Emisiones_CO2_TonXHab,Energia_renovable_Pct,Nivel_energia_renovable,Eventos_Extremos,Precipitaciones_mm,Area_Forestal_Pct,Aumento_Nivel_Mar_mm,Poblacion
2000,2000s,Argentina,América del Sur,16.9,Templada,3.9,15.5,Bajo,11,2047.0,18.4,4.0,564877556
2001,2000s,Argentina,América del Sur,33.2,Muy cálida,18.2,15.7,Bajo,1,2372.0,39.7,2.9,1078565697
2001,2000s,Argentina,América del Sur,24.8,Cálida,14.3,33.8,Medio,12,2813.0,15.6,2.8,332640493
2001,2000s,Argentina,América del Sur,21.5,Cálida,1.1,31.6,Medio,2,2005.0,17.7,4.7,597841637
2001,2000s,Argentina,América del Sur,8.4,Fría,16.8,12.7,Bajo,3,2035.0,19.8,2.3,1334032802
2002,2000s,Argentina,América del Sur,14.3,Templada,16.6,26.7,Medio,7,1325.0,58.2,2.6,845772793
2002,2000s,Argentina,América del Sur,27.6,Cálida,13.6,11.1,Bajo,10,1056.0,23.8,1.6,711474124
2003,2000s,Argentina,América del Sur,10.0,Templada,16.5,21.9,Medio,13,626.0,17.2,1.3,1211429158
2004,2000s,Argentina,América del Sur,9.8,Fría,2.1,15.6,Bajo,1,1290.0,40.1,1.5,742981303
2004,2000s,Argentina,América del Sur,15.4,Templada,8.5,31.8,Medio,0,1416.0,46.9,2.0,1114422920
2005,2000s,Argentina,América del Sur,9.0,Fría,1.1,9.5,Bajo,3,1516.0,44.4,3.3,1253813851
2005,2000s,Argentina,América del Sur,9.7,Fría,5.3,33.0,Medio,8,2660.0,30.5,2.9,704269727
2005,2000s,Argentina,América del Sur,27.0,Cálida,14.3,29.3,Medio,2,1955.0,20.2,2.5,898654624
2005,2000s,Argentina,América del Sur,24.3,Cálida,14.8,26.4,Medio,12,1035.0,58.7,2.3,417690049
2005,2000s,Argentina,América del Sur,5.7,Fría,10.6,8.0,Bajo,10,1730.0,61.6,4.1,1356785799
2005,2000s,Argentina,América del Sur,10.0,Templada,11.2,21.5,Medio,6,1533.0,23.8,2.5,567420977
2006,2000s,Argentina,América del Sur,30.7,Muy cálida,11.6,41.9,Alto,10,1755.0,50.5,3.9,586706107
2006,2000s,Argentina,América del Sur,22.9,Cálida,16.6,18.4,Bajo,8,2272.0,16.6,2.1,1069151826
2006,2000s,Argentina,América del Sur,25.1,Cálida,14.4,36.1,Medio,6,990.0,58.4,4.6,417520615
2006,2000s,Argentina,América del Sur,12.3,Templada,5.7,40.1,Alto,13,690.0,62.0,4.1,964717552
2007,2000s,Argentina,América del Sur,7.7,Fría,19.9,16.9,Bajo,10,918.0,58.7,1.6,203114192
2008,2000s,Argentina,América del Sur,18.0,Templada,7.1,27.8,Medio,4,1037.0,47.1,4.8,1209391736
2008,2000s,Argentina,América del Sur,25.1,Cálida,15.4,48.2,Alto,12,2386.0,54.9,2.7,803864353
2008,2000s,Argentina,América del Sur,21.7,Cálida,2.6,39.4,Medio,2,1853.0,18.9,2.2,1025547493
2008,2000s,Argentina,América del Sur,28.6,Cálida,16.0,25.9,Medio,14,1640.0,34.0,3.5,398067665
2008,2000s,Argentina,América del Sur,10.4,Templada,2.9,40.2,Alto,9,958.0,26.3,2.8,1339539083
2009,2000s,Argentina,América del Sur,11.0,Templada,12.0,14.2,Bajo,2,2510.0,61.8,1.7,504454279
2009,2000s,Argentina,América del Sur,15.7,Templada,2.5,29.4,Medio,14,1453.0,26.4,4.7,548470440
2009,2000s,Argentina,América del Sur,16.4,Templada,17.2,9.3,Bajo,8,1122.0,47.8,3.7,306798170
