Fecha,Anio,Mes,Trimestre,Decada,Temperatura_Pacifico_C,Temperatura_Ajustada_C,Anomalia_C,Anomalia_Trimestral_C,Anomalia_Trimestral_Round,Anomalia_12m,Anomalia_Delta,Fase_Trimestral,Fase_Evento,Intensidad_Evento,Duracion_Meses,Evento_Extremo
1950-01-01,1950,1,1,1950s,24.56,26.18,-1.62,-1.336666666666667,-1.3,,,La Nina,La Nina,Fuerte,6,1
1950-02-01,1950,2,1,1950s,25.07,26.39,-1.32,-1.1666666666666667,-1.2,,0.3,La Nina,La Nina,Moderado,6,0
1950-03-01,1950,3,1,1950s,25.88,26.95,-1.07,-1.1833333333333331,-1.2,,0.25,La Nina,La Nina,Moderado,6,0
1950-04-01,1950,4,2,1950s,26.29,27.39,-1.11,-1.0733333333333337,-1.1,,-0.04,La Nina,La Nina,Moderado,6,0
1950-05-01,1950,5,2,1950s,26.19,27.56,-1.37,-0.8500000000000001,-0.8,,-0.26,La Nina,La Nina,Moderado,6,0
1950-06-01,1950,6,2,1950s,26.47,27.21,-0.74,-0.5333333333333333,-0.5,-1.205,0.63,La Nina,La Nina,Debil,6,0
1950-07-01,1950,7,3,1950s,26.28,26.72,-0.44,-0.4233333333333333,-0.4,-1.096,0.3,Neutral,Neutral,Neutral,10,0
1950-08-01,1950,8,3,1950s,25.88,26.3,-0.42,-0.3833333333333333,-0.4,-1.011,0.02,Neutral,Neutral,Neutral,10,0
1950-09-01,1950,9,3,1950s,25.73,26.14,-0.41,-0.4433333333333333,-0.4,-0.944,0.01,Neutral,Neutral,Neutral,10,0
1950-10-01,1950,10,4,1950s,25.68,26.01,-0.32,-0.6,-0.6,-0.882,0.09,La Nina,Neutral,Neutral,10,0
1950-11-01,1950,11,4,1950s,25.46,26.06,-0.6,-0.7999999999999999,-0.8,-0.856,-0.28,La Nina,Neutral,Neutral,10,0
1950-12-01,1950,12,4,1950s,25.29,26.18,-0.88,-0.82,-0.8,-0.858,-0.28,La Nina,Neutral,Neutral,10,0
1951-01-01,1951,1,1,1950s,25.26,26.18,-0.92,-0.54,-0.5,-0.8,-0.04,La Nina,Neutral,Neutral,10,0
1951-02-01,1951,2,1,1950s,25.72,26.39,-0.66,-0.1666666666666666,-0.2,-0.745,0.26,Neutral,Neutral,Neutral,10,0
1951-03-01,1951,3,1,1950s,26.91,26.95,-0.04,0.1766666666666666,0.2,-0.659,0.62,Neutral,Neutral,Neutral,10,0
1951-04-01,1951,4,2,1950s,27.59,27.39,0.2,0.3633333333333333,0.4,-0.55,0.24,Neutral,Neutral,Neutral,10,0
1951-05-01,1951,5,2,1950s,27.93,27.56,0.37,0.5866666666666667,0.6,-0.405,0.17,El Nino,El Nino,Debil,8,0
1951-06-01,1951,6,2,1950s,27.73,27.21,0.52,0.7000000000000001,0.7,-0.3,0.15,El Nino,El Nino,Debil,8,0
1951-07-01,1951,7,3,1950s,27.59,26.72,0.87,0.8866666666666667,0.9,-0.191,0.35,El Nino,El Nino,Debil,8,0
1951-08-01,1951,8,3,1950s,27.01,26.3,0.71,0.9933333333333332,1.0,-0.097,-0.16,El Nino,El Nino,Debil,8,0
1951-09-01,1951,9,3,1950s,27.22,26.14,1.08,1.153333333333333,1.2,0.028,0.37,El Nino,El Nino,Moderado,8,0
1951-10-01,1951,10,4,1950s,27.2,26.01,1.19,1.04,1.0,0.153,0.11,El Nino,El Nino,Moderado,8,0
1951-11-01,1951,11,4,1950s,27.25,26.06,1.19,0.8066666666666666,0.8,0.302,0.0,El Nino,El Nino,Moderado,8,0
1951-12-01,1951,12,4,1950s,26.92,26.18,0.74,0.5333333333333333,0.5,0.438,-0.45,El Nino,El Nino,Debil,8,0
1952-01-01,1952,1,1,1950s,26.67,26.18,0.49,0.3666666666666667,0.4,0.555,-0.25,Neutral,Neutral,Neutral,12,0
1952-02-01,1952,2,1,1950s,26.75,26.39,0.37,0.3433333333333333,0.3,0.641,-0.12,Neutral,Neutral,Neutral,12,0
1952-03-01,1952,3,1,1950s,27.19,26.95,0.24,0.2966666666666667,0.3,0.664,-0.13,Neutral,Neutral,Neutral,12,0
1952-04-01,1952,4,2,1950s,27.81,27.39,0.42,0.2066666666666666,0.2,0.682,0.18,Neutral,Neutral,Neutral,12,0
1952-05-01,1952,5,2,1950s,27.79,27.56,0.23,0.0,0.0,0.671,-0.19,Neutral,Neutral,Neutral,12,0
1952-06-01,1952,6,2,1950s,27.18,27.21,-0.03,-0.0766666666666666,-0.1,0.625,-0.26,Neutral,Neutral,Neutral,12,0
1952-07-01,1952,7,3,1950s,26.52,26.72,-0.2,0.0033333333333333,0.0,0.536,-0.17,Neutral,Neutral,Neutral,12,0
1952-08-01,1952,8,3,1950s,26.3,26.3,-0.0,0.1533333333333333,0.2,0.477,0.2,Neutral,Neutral,Neutral,12,0
1952-09-01,1952,9,3,1950s,26.35,26.14,0.21,0.1066666666666666,0.1,0.404,0.21,Neutral,Neutral,Neutral,12,0
1952-10-01,1952,10,4,1950s,26.25,26.01,0.25,0.0466666666666666,0.0,0.326,0.04,Neutral,Neutral,Neutral,12,0
1952-11-01,1952,11,4,1950s,25.92,26.06,-0.14,0.15,0.2,0.215,-0.39,Neutral,Neutral,Neutral,12,0
1952-12-01,1952,12,4,1950s,26.21,26.18,0.03,0.4000000000000001,0.4,0.156,0.17,Neutral,Neutral,Neutral,12,0
1953-01-01,1953,1,1,1950s,26.74,26.18,0.56,0.5966666666666667,0.6,0.162,0.53,El Nino,El Nino,Debil,13,0
1953-02-01,1953,2,1,1950s,27.0,26.39,0.61,0.6233333333333334,0.6,0.182,0.05,El Nino,El Nino,Debil,13,0
1953-03-01,1953,3,1,1950s,27.57,26.95,0.62,0.6566666666666667,0.7,0.213,0.01,El Nino,El Nino,Debil,13,0
1953-04-01,1953,4,2,1950s,28.03,27.39,0.64,0.75,0.8,0.232,0.02,El Nino,El Nino,Debil,13,0
1953-05-01,1953,5,2,1950s,28.28,27.56,0.71,0.7699999999999999,0.8,0.272,0.07,El Nino,El Nino,Debil,13,0
1953-06-01,1953,6,2,1950s,28.12,27.21,0.9,0.7433333333333333,0.7,0.349,0.19,El Nino,El Nino,Debil,13,0
1953-07-01,1953,7,3,1950s,27.42,26.72,0.7,0.7266666666666666,0.7,0.424,-0.2,El Nino,El Nino,Debil,13,0
1953-08-01,1953,8,3,1950s,26.93,26.3,0.63,0.7799999999999999,0.8,0.477,-0.07,El Nino,El Nino,Debil,13,0
1953-09-01,1953,9,3,1950s,27.0,26.14,0.85,0.8433333333333334,0.8,0.53,0.22,El Nino,El Nino,Debil,13,0
1953-10-01,1953,10,4,1950s,26.87,26.01,0.86,0.8366666666666666,0.8,0.581,0.01,El Nino,El Nino,Debil,13,0
1953-11-01,1953,11,4,1950s,26.88,26.06,0.82,0.8166666666666668,0.8,0.661,-0.04,El Nino,El Nino,Debil,13,0
1953-12-01,1953,12,4,1950s,27.01,26.18,0.83,0.7566666666666667,0.8,0.728,0.01,El Nino,El Nino,Debil,13,0
1954-01-01,1954,1,1,1950s,26.98,26.18,0.8,0.4666666666666666,0.5,0.747,-0.03,El Nino,El Nino,Debil,13,0
1954-02-01,1954,2,1,1950s,27.03,26.39,0.64,-0.0466666666666666,-0.0,0.75,-0.16,Neutral,Neutral,Neutral,2,0
1954-03-01,1954,3,1,1950s,26.91,26.95,-0.04,-0.41,-0.4,0.695,-0.68,Neutral,Neutral,Neutral,2,0
1954-04-01,1954,4,2,1950s,26.65,27.39,-0.74,-0.5366666666666666,-0.5,0.58,-0.7,La Nina,La Nina,Debil,29,0
1954-05-01,1954,5,2,1950s,27.11,27.56,-0.45,-0.4966666666666666,-0.5,0.483,0.29,La Nina,La Nina,Debil,29,0
