column,source_column,stage,dtype,description
year,Year,"cleaned, processed",int64,Anio del registro climatico.
country,Country,"cleaned, processed",string,Pais analizado.
avg_temperature_c,Avg Temperature (°C),"cleaned, processed",float64,Temperatura promedio anual en grados Celsius.
co2_emissions_tons_capita,CO2 Emissions (Tons/Capita),"cleaned, processed",float64,Emisiones de CO2 en toneladas por habitante.
sea_level_rise_mm,Sea Level Rise (mm),"cleaned, processed",float64,Aumento estimado del nivel del mar en milimetros.
rainfall_mm,Rainfall (mm),"cleaned, processed",int64,Precipitacion anual en milimetros.
population,Population,"cleaned, processed",int64,Poblacion asociada al registro.
renewable_energy_pct,Renewable Energy (%),"cleaned, processed",float64,Participacion de energia renovable en porcentaje.
extreme_weather_events,Extreme Weather Events,"cleaned, processed",int64,Cantidad de eventos climaticos extremos registrados.
forest_area_pct,Forest Area (%),"cleaned, processed",float64,Porcentaje de area forestal.
emissions_total_estimated,derived,processed,float64,Estimacion de emisiones totales: CO2 per capita por poblacion.
renewable_energy_level,derived,processed,string,"Nivel de energia renovable: baja (<20), media (20-35), alta (>35)."
temperature_category,derived,processed,string,Categoria de temperatura promedio basada en terciles del dataset.
