country,records,avg_temperature_c,avg_co2_emissions_tons_capita,avg_sea_level_rise_mm,avg_rainfall_mm,avg_population,avg_renewable_energy_pct,avg_extreme_weather_events,avg_forest_area_pct
Argentina,67,19.3,10.45,3.17,1714.34,752426032.7,27.26,6.58,38.83
Australia,57,19.45,8.9,3.16,1720.96,721337194.56,25.62,6.67,40.85
Brazil,67,20.84,10.84,3.17,1795.01,668552942.57,28.79,6.88,39.77
Canada,67,20.01,10.11,3.14,1834.4,673278769.72,26.24,7.3,41.93
China,67,20.28,10.84,2.93,1834.18,607154076.79,29.13,7.39,44.3
France,66,19.38,10.97,3.19,1767.98,707568021.23,28.74,8.62,39.5
Germany,61,20.29,9.88,2.87,1741.48,756520900.41,28.71,6.84,42.6
India,70,19.76,10.69,2.9,1617.4,656623209.41,27.69,7.6,38.99
Indonesia,75,18.92,11.02,2.75,1808.16,716197355.93,26.53,7.53,40.52
Japan,63,20.45,10.96,3.08,1799.38,697009502.38,27.56,7.86,38.12
Mexico,55,20.7,9.35,2.69,1807.89,738292021.13,27.52,6.44,43.38
Russia,74,20.72,8.97,3.29,1690.0,708637014.15,28.51,7.49,38.51
South Africa,73,20.74,9.62,2.89,1699.05,706981364.93,23.92,6.99,41.07
UK,65,18.49,12.65,2.96,1530.6,740116254.48,27.92,7.78,42.72
USA,73,19.05,10.88,2.93,1734.55,740719845.81,25.72,7.16,38.53
