variable_1,variable_2,correlation,absolute_correlation
year,population,0.072,0.072
avg_temperature_c,renewable_energy_pct,-0.065,0.065
avg_temperature_c,sea_level_rise_mm,0.059,0.059
year,co2_emissions_tons_capita,0.041,0.041
year,forest_area_pct,-0.041,0.041
co2_emissions_tons_capita,sea_level_rise_mm,-0.039,0.039
year,sea_level_rise_mm,0.035,0.035
avg_temperature_c,extreme_weather_events,0.035,0.035
co2_emissions_tons_capita,forest_area_pct,0.031,0.031
sea_level_rise_mm,forest_area_pct,-0.029,0.029
sea_level_rise_mm,extreme_weather_events,0.025,0.025
year,renewable_energy_pct,0.024,0.024
co2_emissions_tons_capita,renewable_energy_pct,-0.023,0.023
year,extreme_weather_events,-0.022,0.022
sea_level_rise_mm,rainfall_mm,0.022,0.022
year,avg_temperature_c,0.021,0.021
renewable_energy_pct,forest_area_pct,-0.021,0.021
rainfall_mm,forest_area_pct,0.019,0.019
avg_temperature_c,forest_area_pct,-0.017,0.017
year,rainfall_mm,-0.014,0.014
co2_emissions_tons_capita,rainfall_mm,0.013,0.013
avg_temperature_c,co2_emissions_tons_capita,0.012,0.012
population,forest_area_pct,-0.012,0.012
co2_emissions_tons_capita,population,0.012,0.012
extreme_weather_events,forest_area_pct,-0.009,0.009
rainfall_mm,population,0.009,0.009
rainfall_mm,extreme_weather_events,-0.007,0.007
rainfall_mm,renewable_energy_pct,-0.006,0.006
avg_temperature_c,rainfall_mm,-0.005,0.005
population,extreme_weather_events,0.005,0.005
co2_emissions_tons_capita,extreme_weather_events,-0.004,0.004
avg_temperature_c,population,0.004,0.004
sea_level_rise_mm,renewable_energy_pct,0.004,0.004
population,renewable_energy_pct,0.002,0.002
sea_level_rise_mm,population,-0.0,0.0
renewable_energy_pct,extreme_weather_events,0.0,0.0
