year,records,avg_temperature_c,avg_co2_emissions_tons_capita,avg_sea_level_rise_mm,avg_rainfall_mm,avg_renewable_energy_pct,avg_extreme_weather_events,avg_forest_area_pct
2000,53,20.5,11.22,2.94,1687.74,27.57,7.83,41.89
2001,41,20.12,9.93,3.27,1756.9,25.66,7.68,42.22
2002,51,21.43,9.93,2.95,1928.75,25.86,7.06,41.06
2003,41,18.22,11.09,2.93,1826.71,26.59,7.98,39.17
2004,50,18.8,10.0,2.79,1713.92,29.47,6.42,42.24
2005,37,19.53,8.54,2.94,1594.95,24.71,7.7,40.74
2006,39,19.81,10.5,3.06,1946.97,29.36,7.67,40.7
2007,40,20.56,10.34,2.82,1662.4,24.37,7.6,42.19
2008,36,19.14,10.38,3.03,1724.33,28.3,8.0,43.02
2009,33,19.73,10.36,2.76,1581.42,25.88,6.09,44.29
2010,30,17.96,9.87,3.13,1712.97,24.73,7.27,40.92
2011,44,18.86,9.81,3.03,1862.82,27.2,6.64,41.04
2012,42,17.57,10.64,2.95,1611.81,27.73,6.86,38.23
2013,31,18.83,11.14,2.98,1615.71,26.35,8.26,35.86
2014,44,20.83,11.41,3.12,1722.59,28.5,6.89,37.43
2015,43,19.92,9.67,3.05,1681.98,30.74,8.05,40.1
2016,51,21.16,10.4,3.01,1609.39,28.47,6.94,40.21
2017,32,19.48,8.23,2.88,1959.72,30.83,6.84,39.79
2018,46,23.25,10.44,3.02,1725.89,27.06,7.2,41.48
2019,40,20.4,9.81,3.2,1984.22,25.75,8.2,45.77
2020,43,19.04,10.25,3.31,1564.65,28.04,5.93,40.0
2021,46,20.08,11.52,3.09,1803.17,27.34,7.91,39.12
2022,45,18.96,12.33,2.96,1766.44,26.71,7.27,36.76
2023,42,21.11,11.4,3.01,1668.95,26.75,7.02,39.47
